Indicator ID,Indicator Name,Display Name,Source ID,Data Type,Transform Notebook,Frequency,AggregateType,DenominatorIndicatorID,PerCapita,MinYear
sexualandreproductivehealthlawsandregulations_srhlr,Sexual and reproductive health laws and regulations,Sexual and reproductive health laws and regulations,SR_HLR,float,ER_MRN_MPA_transform,,,,,
guaranteeaccesstosexualreproductivehealthcareeducationinformation_srhlrcten,"Laws and Regulations that Guarantee Access to Sexual and Reproductive Health Care, Information and Education: Component 10: HIV counselling and test services","Laws and Regulations that Guarantee Access to Sexual and Reproductive Health Care, Information and Education: Component 10: HIV counselling and test services",SR_HLR_CTEN,float,ER_MRN_MPA_transform,,,,,
hivtreatmentandcareservice_hivtcs,HIV Treatment and Care Services,HIV Treatment and Care Services,HIV_TCS,float,ER_MRN_MPA_transform,,,,,
hivconfidentiality_hivconf,HIV Confidentiality,HIV Confidentiality,HIV_CONF,float,ER_MRN_MPA_transform,,,,,
maternitycare_mclr,"Maternity Care: Laws and regulations that guarantee access to sexual and reproductive health care, information and education","Maternity Care: Laws and regulations that guarantee access to sexual and reproductive health care, information and education",MC_LR,float,ER_MRN_MPA_transform,,,,,
lifesavingcommodities_lsclr,"Life Saving Commodities: Laws and regulations that guarantee access to sexual and reproductive health care, information and education","Life Saving Commodities: Laws and regulations that guarantee access to sexual and reproductive health care, information and education",LSC_LR,float,ER_MRN_MPA_transform,,,,,
abortion_abrtlr,"Abortion: Laws and regulations that guarantee access to sexual and reproductive health care, information and education","Abortion: Laws and regulations that guarantee access to sexual and reproductive health care, information and education",ABRT_LR,float,ER_MRN_MPA_transform,,,,,
contraceptiveservices_cslr,Contraceptive Services: Laws & Regulations,Contraceptive Services: Laws & Regulations,CS_LR,float,ER_MRN_MPA_transform,,,,,
sexualityeducation_selr,Sexuality Education: Laws & Regulations,Sexuality Education: Laws & Regulations,SE_LR,float,ER_MRN_MPA_transform,,,,,
numberofdeathsandmissingpersonsanddirectlyaffectedpeopleattributedtodisaster_ndmdsr,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)","Number of deaths and missing persons attributed to disasters per 100,000 population (number)",NDM_DSR,float,ER_MRN_MPA_transform,,,,,
antiretroviraltherapycoverageamongmenhavingsexwithmenhiv_menss,Antiretroviral therapy coverage among men who have sex with men living with HIV,Antiretroviral therapy coverage among men who have sex with men living with HIV,MEN_SS,float,UNAIDS_transform,,,,,
experienceofstigmaanddiscriminationamongmenhadsexwithmen_menss,Experience of stigma and discrimination among men who have sex with men,Experience of stigma and discrimination among men who have sex with men,MEN_SS,float,UNAIDS_transform,,,,,
experienceofsexualphisicalviolenceamongmenhadsexwithmen_menss,Experience of sexual and/or physical violence among men who have sex with men,Experience of sexual and/or physical violence among men who have sex with men,MEN_SS,float,UNAIDS_transform,,,,,
condomdistributionperpersoninprevensionprogrammes_menss,Condoms distributed per person in prevention programmes for men who have sex with men,Condoms distributed per person in prevention programmes for men who have sex with men,MEN_SS,float,UNAIDS_transform,,,,,
sexworkerspopulationsizeestimate_swpse,Sex Workers-  Population size estimate (all ages),Sex Workers-  Population size estimate (all ages),SW_PSE,float,UNAIDS_transform,,,,,
sexworkerscoverageofpreventionprogrammes_swhivppc,Sex Workers- coverage of HIV Prevention Programmes,Sex Workers- coverage of HIV Prevention Programmes,SW_HIVPPC,float,UNAIDS_transform,,,,,
menwhohadsexwithmenpopulationsizeestimate_menss,Men who have sex with men: Population size estimate,Men who have sex with men: Population size estimate,MEN_SS,float,UNAIDS_transform,,,,,
avoidanceofhealthcareduetostigmaanddiscrimination_menahcsd,Men who have sex with men: Avoidance of health care because of stigma and discrimination,Men who have sex with men: Avoidance of health care because of stigma and discrimination,MEN_AHC_SD,float,UNAIDS_transform,,,,,
hivprevalenceamongmen_hivpmen,HIV prevalence among men who have sex with men,HIV prevalence among men who have sex with men,HIV_P_MEN,float,UNAIDS_transform,,,,,
